Дата поста (UTC),Время поста,Количество лайков
2021-04-09,17:37:20,3
2021-04-07,16:56:46,3
2021-04-05,14:06:32,3
2021-04-04,18:47:56,5
2021-04-01,18:30:01,1
2021-04-01,09:30:00,5
2021-03-28,16:41:53,5
2021-03-27,15:01:04,1
2021-03-23,17:04:32,1
2021-03-21,19:18:25,2
2021-03-19,18:00:01,2
2021-03-17,18:30:02,4
2021-03-17,13:30:52,3
2021-03-14,11:30:00,17
2021-03-10,11:30:00,3
2021-03-09,17:34:02,0
2021-03-08,12:19:16,1
2021-03-06,15:37:24,2
2021-03-05,05:54:37,12
2021-02-28,18:44:21,4
2021-02-26,02:30:00,3
2021-02-25,14:10:01,1
2021-02-21,17:31:26,10
2021-02-20,09:03:00,3
2021-02-19,09:00:04,2
2021-02-17,18:13:00,7
2021-02-15,18:46:25,11
2021-02-14,06:00:07,10
2021-02-12,16:01:31,1
2021-02-12,00:30:00,3
2021-02-09,18:00:06,1
2021-02-08,05:30:00,3
2021-02-05,14:25:51,2
2021-02-03,18:02:08,1
2021-02-02,16:25:10,2
2021-02-01,19:09:23,3
2021-01-29,16:09:42,1
2021-01-28,18:29:02,14
2021-01-25,19:32:22,3
2021-01-22,14:20:46,4
2021-01-20,18:46:44,0
2021-01-19,18:22:05,10
2021-01-19,08:03:00,2
2021-01-18,16:15:54,2
2021-01-17,06:00:00,3
2021-01-14,15:42:20,8
2021-01-12,19:00:34,1
2021-01-12,10:10:00,7
2021-01-12,04:22:36,1
2021-01-11,17:00:04,2
2021-01-09,18:12:53,13
2021-01-05,11:00:06,16
2021-01-03,10:00:05,1
2021-01-02,02:10:00,4
2021-01-01,17:08:20,0
2020-12-31,18:39:09,1
2020-12-31,08:30:01,12
2020-12-30,14:58:37,2
2020-12-29,18:07:41,1
2020-12-22,16:46:47,2
2020-12-21,10:00:02,5
2020-12-20,04:00:02,12
2020-12-19,05:24:00,3
2020-12-18,09:00:07,11
2020-12-17,04:24:00,3
2020-12-15,17:54:08,7
2020-12-12,10:00:05,1
2020-12-11,14:16:01,10
2020-12-09,15:36:02,4
2020-12-04,15:01:24,8
2020-11-26,17:08:38,4
2020-11-16,17:40:26,3
2020-11-10,15:32:35,4
2020-11-10,05:14:26,4
2020-11-10,03:15:51,3
2020-11-09,22:43:28,3
2020-11-09,22:31:56,3
2020-11-09,16:14:08,12
2020-11-09,15:40:00,3
2020-10-15,15:03:20,5
2020-09-27,07:19:30,14
2020-09-23,18:36:27,17
2020-09-22,04:35:01,3
2020-09-13,04:39:40,6
2020-09-11,15:28:46,5
2020-09-09,18:06:06,5
2020-09-04,15:23:35,0
2020-08-26,04:27:46,1
2020-08-25,04:39:14,2
2020-08-22,09:20:55,2
2020-08-09,18:38:07,17
2020-08-06,09:11:18,1
2020-07-22,07:55:17,4
2020-07-22,06:31:13,4
2020-07-22,04:47:14,0
2020-07-16,17:11:55,4
2020-07-12,06:47:12,1
2020-07-08,05:00:32,0
2020-07-01,08:18:06,1
2020-06-22,03:35:57,0
2020-06-16,07:26:53,0
2020-06-13,15:42:46,4
2020-06-02,04:17:18,2
2020-05-29,06:25:09,37
2020-05-23,07:05:21,3
2020-05-21,16:37:04,24
2020-05-04,15:03:48,8
2020-04-17,15:14:19,10
2020-04-10,18:01:37,2
2020-04-05,05:52:16,5
2020-03-27,05:53:43,0
2020-03-17,17:07:16,1
2020-03-07,02:07:38,10
2020-03-05,18:00:28,7
2020-03-04,05:50:28,3
2020-03-04,05:46:02,1
2020-03-02,04:39:53,3
2020-03-02,04:38:11,3
2020-02-28,05:19:13,0
2020-02-26,06:16:56,2
2020-02-24,04:14:31,3
2020-02-21,08:42:59,3
2020-02-10,08:37:28,3
2020-02-04,17:36:25,11
2020-02-03,18:29:15,6
2020-02-02,04:00:50,2
2020-02-01,05:12:01,1
2020-01-30,05:42:56,4
2020-01-25,17:51:13,1
2020-01-19,16:48:42,8
2020-01-15,14:32:49,4
2020-01-14,03:26:25,3
2020-01-11,18:41:57,5
2020-01-09,04:21:41,4
2020-01-02,17:52:48,13
2019-12-29,17:27:30,6
2019-12-27,14:41:53,2
2019-12-27,14:39:03,0
2019-12-18,03:58:38,2
2019-12-13,16:20:25,6
2019-11-25,17:52:48,6
2019-11-20,18:08:40,4
2019-11-18,18:22:52,5
2019-11-15,05:06:40,4
2019-11-14,16:01:40,4
2019-11-10,14:02:06,2
2019-11-10,01:44:46,1
2019-11-09,23:24:55,2
2019-10-31,14:39:04,8
2019-10-28,03:52:42,2
2019-10-17,16:42:28,6
2019-10-16,06:27:49,2
2019-10-16,06:09:13,1
2019-10-16,06:04:30,2
2019-10-15,15:28:29,5
2019-10-12,12:37:14,2
2019-09-21,07:30:44,7
2019-09-20,13:59:14,10
